year,n.fish,n.trip,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16+
1996,20,6,0.0000,0.0000,0.0434,0.2031,0.1782,0.5492,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1997,126,33,0.0000,0.0000,0.0814,0.2515,0.1663,0.4183,0.0417,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1998,1678,85,0.0000,0.0000,0.0210,0.4289,0.2706,0.1247,0.0957,0.0247,0.0120,0.0045,0.0008,0.0160,0.0000,0.0000,0.0000,0.0012
1999,88,16,0.0000,0.0000,0.0200,0.1624,0.6084,0.1497,0.0263,0.0333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2000,22,10,0.0000,0.0615,0.0308,0.0615,0.5385,0.2128,0.0949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2001,52,19,0.0000,0.0000,0.0781,0.1651,0.1669,0.3437,0.1742,0.0277,0.0208,0.0078,0.0000,0.0156,0.0000,0.0000,0.0000,0.0000
2002,25,17,0.0000,0.0000,0.1605,0.4691,0.0000,0.1111,0.1852,0.0370,0.0000,0.0370,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2003,18,7,0.0000,0.0000,0.0000,0.3299,0.5289,0.0000,0.1071,0.0340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2004,231,55,0.0000,0.0000,0.1069,0.2322,0.1876,0.1499,0.0333,0.0462,0.0512,0.0188,0.0117,0.0012,0.1610,0.0000,0.0000,0.0000
2005,490,122,0.0000,0.0000,0.0543,0.2906,0.2456,0.1931,0.0707,0.0101,0.0253,0.0490,0.0419,0.0121,0.0013,0.0057,0.0001,0.0000
2006,828,206,0.0000,0.0000,0.0175,0.3435,0.1846,0.2812,0.0305,0.0680,0.0059,0.0076,0.0110,0.0284,0.0091,0.0081,0.0000,0.0047
2007,1287,370,0.0000,0.0000,0.0026,0.1437,0.4459,0.1594,0.1077,0.0493,0.0292,0.0040,0.0134,0.0164,0.0143,0.0085,0.0009,0.0046
2008,2107,362,0.0000,0.0000,0.0000,0.0159,0.2831,0.4502,0.0797,0.0453,0.0347,0.0168,0.0059,0.0124,0.0266,0.0167,0.0081,0.0044
2009,998,254,0.0000,0.0000,0.0000,0.0097,0.0220,0.6264,0.2520,0.0382,0.0124,0.0088,0.0055,0.0055,0.0077,0.0066,0.0032,0.0018
2010,775,194,0.0000,0.0000,0.0054,0.0175,0.0289,0.0795,0.5486,0.2508,0.0264,0.0069,0.0038,0.0046,0.0110,0.0089,0.0028,0.0046
2011,702,180,0.0000,0.0000,0.0627,0.1112,0.0515,0.0264,0.1233,0.4786,0.0983,0.0240,0.0044,0.0079,0.0034,0.0019,0.0024,0.0041
2012,652,162,0.0000,0.0000,0.0237,0.1869,0.1477,0.0425,0.0218,0.1490,0.2401,0.1195,0.0271,0.0174,0.0042,0.0015,0.0066,0.0119
2013,335,97,0.0000,0.0000,0.0149,0.1064,0.2998,0.1733,0.0439,0.0259,0.0800,0.1272,0.0757,0.0336,0.0020,0.0071,0.0060,0.0042
2014,289,98,0.0000,0.0000,0.0075,0.0702,0.1871,0.2208,0.0735,0.0241,0.0412,0.1006,0.1554,0.0408,0.0263,0.0226,0.0049,0.0250
2015,84,43,0.0000,0.0000,0.0000,0.0000,0.0527,0.1643,0.1879,0.0560,0.0079,0.1188,0.1636,0.1809,0.0332,0.0126,0.0000,0.0220
