year,discards,cv
1993,15.36811537,0.2
1994,21.04632781,0.2
1995,17.79998809,0.199747989
1996,18.05634314,0.199582002
1997,21.7594029,0.199546689
1998,15.02566308,0.139201584
1999,12.40969702,0.140948625
2000,12.80041186,0.153742758
2001,11.79753699,0.157362674
2002,22.0383358,0.142822444
2003,10.95308397,0.147418506
2004,10.99442641,0.147402593
2005,10.26554279,0.1
2006,4.975220246,0.1
2007,8.618804008,0.1
2008,2.002116841,0.1
2009,1.487287509,0.1
2010,2.554688913,0.1
2011,1.780892765,0.1
2012,1.653830618,0.1
2013,17.90684825,0.1
2014,10.99881785,0.1
2015,18.75038521,0.1
